Size (in),Size (mm),Weight (lb/ft),ID (in),ID (mm),Drift (in),Drift (mm),Capacity (bbl/100ft)
4 1/2,114.3,9.5,4.09,103.89,3.965,100.71,1.63
4 1/2,114.3,10.5,4.052,102.92,3.927,99.75,1.59
4 1/2,114.3,11.6,4.0,101.6,3.875,98.43,1.55
4 1/2,114.3,12.6,3.958,100.53,3.833,97.36,1.52
4 1/2,114.3,13.5,3.92,99.57,3.795,96.39,1.49
4 1/2,114.3,15.1,3.826,97.18,3.701,94.01,1.42
4 1/2,114.3,16.6,3.754,95.35,3.629,92.18,1.37
4 1/2,114.3,16.9,3.74,95.0,3.615,91.82,1.36
4 1/2,114.3,17.7,3.696,93.88,3.571,90.7,1.33
4 1/2,114.3,18.8,3.64,92.46,3.515,89.28,1.29
4 1/2,114.3,21.6,3.5,88.9,3.375,85.73,1.19
4 1/2,114.3,24.6,3.38,85.85,3.255,82.68,1.11
4 1/2,114.3,26.5,3.24,82.3,3.115,79.12,1.02
5,127.0,11.5,4.56,115.82,4.435,112.65,2.02
5,127.0,13.0,4.494,114.15,4.369,110.97,1.96
5,127.0,15.0,4.408,111.96,4.283,108.79,1.89
5,127.0,18.0,4.276,108.61,4.151,105.44,1.78
5,127.0,20.3,4.184,106.27,4.059,103.1,1.7
5,127.0,20.8,4.156,105.56,4.031,102.39,1.68
5,127.0,21.4,4.126,104.8,4.001,101.63,1.65
5,127.0,23.2,4.044,102.72,3.919,99.54,1.59
5,127.0,24.2,4.0,101.6,3.875,98.43,1.55
5,127.0,26.7,3.876,98.45,3.751,95.28,1.46
5,127.0,32.0,3.62,91.95,3.495,88.77,1.27
5 1/2,139.7,13.0,5.044,128.12,4.919,124.94,2.47
5 1/2,139.7,14.0,5.012,127.3,4.887,124.13,2.44
5 1/2,139.7,15.5,4.95,125.73,4.825,122.56,2.38
5 1/2,139.7,17.0,4.892,124.26,4.767,121.08,2.32
5 1/2,139.7,20.0,4.778,121.36,4.653,118.19,2.22
5 1/2,139.7,23.0,4.67,118.62,4.545,115.44,2.12
5 1/2,139.7,26.0,4.548,115.52,4.423,112.34,2.01
5 1/2,139.7,28.4,4.44,112.78,4.315,109.6,1.91
5 1/2,139.7,29.7,4.376,111.15,4.251,107.98,1.86
5 1/2,139.7,32.3,4.276,108.61,4.151,105.44,1.78
5 1/2,139.7,36.4,4.09,103.89,3.965,100.71,1.62
5 1/2,139.7,39.3,4.044,102.72,3.919,99.54,1.59
6,152.4,15.0,5.542,140.77,5.399,137.13,2.98
6,152.4,18.0,5.424,137.77,5.299,134.59,2.86
6,152.4,20.0,5.352,135.94,5.227,132.77,2.78
6,152.4,23.0,5.24,133.1,5.115,129.92,2.67
6,152.4,26.0,5.132,130.35,5.007,127.18,2.56
6 5/8,168.28,17.0,6.135,155.83,6.01,152.65,3.66
6 5/8,168.28,20.0,6.049,153.64,5.924,150.47,3.55
6 5/8,168.28,24.0,5.921,150.39,5.796,147.22,3.41
6 5/8,168.28,28.0,5.791,147.09,5.666,143.92,3.26
6 5/8,168.28,32.0,5.675,144.15,5.55,140.97,3.13
6 5/8,168.28,35.0,5.575,141.61,5.45,138.43,3.02
6 5/8,168.28,43.2,5.375,136.53,5.25,133.35,2.81
6 5/8,168.28,69.63,4.375,111.13,4.25,107.95,1.86
7,177.8,17.0,6.538,166.07,6.413,162.89,4.15
7,177.8,20.0,6.456,163.98,6.331,160.81,4.05
7,177.8,23.0,6.366,161.7,6.241,158.52,3.94
7,177.8,26.0,6.276,159.41,6.151,156.24,3.83
7,177.8,29.0,6.184,157.07,6.059,153.9,3.71
7,177.8,32.0,6.094,154.79,5.969,151.61,3.61
7,177.8,35.0,6.004,152.5,5.879,149.33,3.5
7,177.8,38.0,5.92,150.37,5.795,147.19,3.4
7,177.8,41.0,5.82,147.83,5.695,144.65,3.29
7,177.8,42.7,5.75,146.05,5.625,142.88,3.21
7,177.8,44.0,5.72,145.29,5.595,142.11,3.18
7,177.8,45.4,5.66,143.76,5.535,140.59,3.11
