GLI,Liquid Rate,WCUT,,,,,,,,,,,,,,,,,,,
0,0,2,,,,,,,,,,,,,,,,,,,
0.2,2442.798,2,,,,,,,,,,,,,,,,,,,
0.4,2461.667,2,,,,,,,,,,,,,,,,,,,
0.6,2480.887,2,,,,,,,,,,,,,,,,,,,
0.8,2500.377,2,,,,,,,,,,,,,,,,,,,
1,2520.118,2,,,,,,,,,,,,,,,,,,,
1.2,2540.093,2,,,,,,,,,,,,,,,,,,,
1.4,2560.282,2,,,,,,,,,,,,,,,,,,,
1.6,2580.671,2,,,,,,,,,,,,,,,,,,,
1.8,2601.812,2,,,,,,,,,,,,,,,,,,,
2,2622.368,2,,,,,,,,,,,,,,,,,,,
0,0,5,,,,,,,,,,,,,,,,,,,
0.2,2451.517,5,,,,,,,,,,,,,,,,,,,
0.4,2469.89,5,,,,,,,,,,,,,,,,,,,
0.6,2488.591,5,,,,,,,,,,,,,,,,,,,
0.8,2507.596,5,,,,,,,,,,,,,,,,,,,
1,2526.883,5,,,,,,,,,,,,,,,,,,,
1.2,2546.432,5,,,,,,,,,,,,,,,,,,,
1.4,2566.222,5,,,,,,,,,,,,,,,,,,,
1.6,2587.011,5,,,,,,,,,,,,,,,,,,,
1.8,2607.016,5,,,,,,,,,,,,,,,,,,,
2,2627.256,5,,,,,,,,,,,,,,,,,,,
0,0,20,,,,,,,,,,,,,,,,,,,
0.2,2501.79,20,,,,,,,,,,,,,,,,,,,
0.4,2516.717,20,,,,,,,,,,,,,,,,,,,
0.6,2532.236,20,,,,,,,,,,,,,,,,,,,
0.8,2548.296,20,,,,,,,,,,,,,,,,,,,
1,2564.879,20,,,,,,,,,,,,,,,,,,,
1.2,2581.956,20,,,,,,,,,,,,,,,,,,,
1.4,2600.099,20,,,,,,,,,,,,,,,,,,,
1.6,2617.797,20,,,,,,,,,,,,,,,,,,,
1.8,2635.874,20,,,,,,,,,,,,,,,,,,,
2,2654.293,20,,,,,,,,,,,,,,,,,,,
0,0,35,,,,,,,,,,,,,,,,,,,
0.2,2566.108,35,,,,,,,,,,,,,,,,,,,
0.4,2575.946,35,,,,,,,,,,,,,,,,,,,
0.6,2585.926,35,,,,,,,,,,,,,,,,,,,
0.8,2598.691,35,,,,,,,,,,,,,,,,,,,
1,2611.405,35,,,,,,,,,,,,,,,,,,,
1.2,2624.973,35,,,,,,,,,,,,,,,,,,,
1.4,2639.227,35,,,,,,,,,,,,,,,,,,,
1.6,2654.128,35,,,,,,,,,,,,,,,,,,,
1.8,2669.661,35,,,,,,,,,,,,,,,,,,,
2,2685.718,35,,,,,,,,,,,,,,,,,,,
0,0,70,,,,,,,,,,,,,,,,,,,
0.2,2784.714,70,,,,,,,,,,,,,,,,,,,
0.4,2772.967,70,,,,,,,,,,,,,,,,,,,
0.6,2765.045,70,,,,,,,,,,,,,,,,,,,
0.8,2759.883,70,,,,,,,,,,,,,,,,,,,
1,2757.761,70,,,,,,,,,,,,,,,,,,,
1.2,2758.18,70,,,,,,,,,,,,,,,,,,,
1.4,2760.76,70,,,,,,,,,,,,,,,,,,,
1.6,2765.206,70,,,,,,,,,,,,,,,,,,,
1.8,2771.295,70,,,,,,,,,,,,,,,,,,,
2,2778.831,70,,,,,,,,,,,,,,,,,,,
0,0,90,,,,,,,,,,,,,,,,,,,
0.2,2974.213,90,,,,,,,,,,,,,,,,,,,
0.4,2932.882,90,,,,,,,,,,,,,,,,,,,
0.6,2903.209,90,,,,,,,,,,,,,,,,,,,
0.8,2881.554,90,,,,,,,,,,,,,,,,,,,
1,2865.836,90,,,,,,,,,,,,,,,,,,,
1.2,2854.79,90,,,,,,,,,,,,,,,,,,,
1.4,2848.156,90,,,,,,,,,,,,,,,,,,,
1.6,2846.39,90,,,,,,,,,,,,,,,,,,,
1.8,2845.167,90,,,,,,,,,,,,,,,,,,,
2,2846.027,90,,,,,,,,,,,,,,,,,,,
0,0,95,,,,,,,,,,,,,,,,,,,
0.2,3028.948,95,,,,,,,,,,,,,,,,,,,
0.4,2978.479,95,,,,,,,,,,,,,,,,,,,
0.6,2942.462,95,,,,,,,,,,,,,,,,,,,
0.8,2915.984,95,,,,,,,,,,,,,,,,,,,
1,2896.391,95,,,,,,,,,,,,,,,,,,,
1.2,2882.106,95,,,,,,,,,,,,,,,,,,,
1.4,2872.069,95,,,,,,,,,,,,,,,,,,,
1.6,2865.735,95,,,,,,,,,,,,,,,,,,,
1.8,2864.41,95,,,,,,,,,,,,,,,,,,,
2,2864.148,95,,,,,,,,,,,,,,,,,,,
