GLI,Liquid Rate,WCUT
0.2,173.9378,2
0.4,174.2173,2
0.6,174.482,2
0.8,174.7329,2
1,174.9707,2
1.2,175.1973,2
1.4,175.4129,2
1.6,175.6184,2
1.8,175.8123,2
2,176.0003,2
0.2,175.1922,5
0.4,175.4333,5
0.6,175.6616,5
0.8,175.8777,5
1,176.082,5
1.2,176.2764,5
1.4,176.4609,5
1.6,176.633,5
1.8,176.8011,5
2,176.9611,5
0.2,180.2878,20
0.4,180.4,20
0.6,180.5028,20
0.8,180.5972,20
1,180.6828,20
1.2,180.7618,20
1.4,180.8296,20
1.6,180.897,20
1.8,180.9585,20
2,181.0146,20
0.2,183.9305,35
0.4,183.9828,35
0.6,184.0323,35
0.8,184.059,35
1,184.0846,35
1.2,184.1024,35
1.4,184.1141,35
1.6,184.1197,35
1.8,184.1195,35
2,184.1144,35
0.2,188.8022,70
0.4,188.9184,70
0.6,188.9964,70
0.8,189.0487,70
1,189.0748,70
1.2,189.0801,70
1.4,189.0688,70
1.6,189.0437,70
1.8,189.0066,70
2,188.959,70
0.2,189.5131,90
0.4,189.9957,90
0.6,190.2985,90
0.8,190.4957,90
1,190.6235,90
1.2,190.7024,90
1.4,190.7391,90
1.6,190.7337,90
1.8,190.7237,90
2,190.6974,90
0.2,189.3841,95
0.4,190.045,95
0.6,190.4468,95
0.8,190.706,95
1,190.8762,95
1.2,190.9854,95
1.4,191.0503,95
1.6,191.0798,95
1.8,191.0654,95
2,191.0428,95
