GLI,Liquid Rate,WCUT,,,,,,,,,,,,,,,,,,,
0,6570.797,2,,,,,,,,,,,,,,,,,,,
0.2,6745.583,2,,,,,,,,,,,,,,,,,,,
0.4,6918.831,2,,,,,,,,,,,,,,,,,,,
0.6,7090.412,2,,,,,,,,,,,,,,,,,,,
0.8,7260.61,2,,,,,,,,,,,,,,,,,,,
1,7429.459,2,,,,,,,,,,,,,,,,,,,
1.2,7596.989,2,,,,,,,,,,,,,,,,,,,
1.4,7763.233,2,,,,,,,,,,,,,,,,,,,
1.6,7928.216,2,,,,,,,,,,,,,,,,,,,
1.8,8089.52,2,,,,,,,,,,,,,,,,,,,
2,8252.851,2,,,,,,,,,,,,,,,,,,,
0,6530.506,5,,,,,,,,,,,,,,,,,,,
0.2,6707.399,5,,,,,,,,,,,,,,,,,,,
0.4,6882.432,5,,,,,,,,,,,,,,,,,,,
0.6,7055.914,5,,,,,,,,,,,,,,,,,,,
0.8,7227.894,5,,,,,,,,,,,,,,,,,,,
1,7398.414,5,,,,,,,,,,,,,,,,,,,
1.2,7567.523,5,,,,,,,,,,,,,,,,,,,
1.4,7735.252,5,,,,,,,,,,,,,,,,,,,
1.6,7898.311,5,,,,,,,,,,,,,,,,,,,
1.8,8064.295,5,,,,,,,,,,,,,,,,,,,
2,8228.818,5,,,,,,,,,,,,,,,,,,,
0,6294.607,20,,,,,,,,,,,,,,,,,,,
0.2,6485.601,20,,,,,,,,,,,,,,,,,,,
0.4,6673.655,20,,,,,,,,,,,,,,,,,,,
0.6,6859.165,20,,,,,,,,,,,,,,,,,,,
0.8,7042.302,20,,,,,,,,,,,,,,,,,,,
1,7223.074,20,,,,,,,,,,,,,,,,,,,
1.2,7401.551,20,,,,,,,,,,,,,,,,,,,
1.4,7575.213,20,,,,,,,,,,,,,,,,,,,
1.6,7750.509,20,,,,,,,,,,,,,,,,,,,
1.8,7923.857,20,,,,,,,,,,,,,,,,,,,
2,8095.373,20,,,,,,,,,,,,,,,,,,,
0,5984.394,35,,,,,,,,,,,,,,,,,,,
0.2,6197.725,35,,,,,,,,,,,,,,,,,,,
0.4,6406.106,35,,,,,,,,,,,,,,,,,,,
0.6,6613.996,35,,,,,,,,,,,,,,,,,,,
0.8,6809.982,35,,,,,,,,,,,,,,,,,,,
1,7006.18,35,,,,,,,,,,,,,,,,,,,
1.2,7198.643,35,,,,,,,,,,,,,,,,,,,
1.4,7388.036,35,,,,,,,,,,,,,,,,,,,
1.6,7574.471,35,,,,,,,,,,,,,,,,,,,
1.8,7757.95,35,,,,,,,,,,,,,,,,,,,
2,7938.896,35,,,,,,,,,,,,,,,,,,,
0,4835.122,70,,,,,,,,,,,,,,,,,,,
0.2,5177.725,70,,,,,,,,,,,,,,,,,,,
0.4,5481.926,70,,,,,,,,,,,,,,,,,,,
0.6,5768.719,70,,,,,,,,,,,,,,,,,,,
0.8,6043.026,70,,,,,,,,,,,,,,,,,,,
1,6303.628,70,,,,,,,,,,,,,,,,,,,
1.2,6552.818,70,,,,,,,,,,,,,,,,,,,
1.4,6792.318,70,,,,,,,,,,,,,,,,,,,
1.6,7023.435,70,,,,,,,,,,,,,,,,,,,
1.8,7247.147,70,,,,,,,,,,,,,,,,,,,
2,7464.301,70,,,,,,,,,,,,,,,,,,,
0,3692.973,90,,,,,,,,,,,,,,,,,,,
0.2,4245.22,90,,,,,,,,,,,,,,,,,,,
0.4,4694.591,90,,,,,,,,,,,,,,,,,,,
0.6,5086.506,90,,,,,,,,,,,,,,,,,,,
0.8,5439.6,90,,,,,,,,,,,,,,,,,,,
1,5764.373,90,,,,,,,,,,,,,,,,,,,
1.2,6067.136,90,,,,,,,,,,,,,,,,,,,
1.4,6349.31,90,,,,,,,,,,,,,,,,,,,
1.6,6608.854,90,,,,,,,,,,,,,,,,,,,
1.8,6866.026,90,,,,,,,,,,,,,,,,,,,
2,7113.622,90,,,,,,,,,,,,,,,,,,,
0,3336.214,95,,,,,,,,,,,,,,,,,,,
0.2,3966.838,95,,,,,,,,,,,,,,,,,,,
0.4,4463.735,95,,,,,,,,,,,,,,,,,,,
0.6,4888.005,95,,,,,,,,,,,,,,,,,,,
0.8,5265.266,95,,,,,,,,,,,,,,,,,,,
1,5609.151,95,,,,,,,,,,,,,,,,,,,
1.2,5927.655,95,,,,,,,,,,,,,,,,,,,
1.4,6226.075,95,,,,,,,,,,,,,,,,,,,
1.6,6507.142,95,,,,,,,,,,,,,,,,,,,
1.8,6764.781,95,,,,,,,,,,,,,,,,,,,
2,7017.579,95,,,,,,,,,,,,,,,,,,,
